row ID,row m/z,row retention time,Aludoviciana_pipe-APW.raw filtered Peak height,AmericanSpirit_pipe-APW.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Ceramic_Pipe_1-APW.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Gshallon_pipe-APW.raw filtered Peak height,Linflata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nglauca_pipe-APW.raw filtered Peak height,Nobtusifolia_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Ssonomensis_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Vthapsus_pipe-APW.raw filtered Peak height
1,243.1195788,10.79381429,256605,4576,0,0,0,0,35031,0,0,3267,0,0,0,0,0,0,37743,0
2,247.1233521,7.88623,251174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,430.2743051,11.02565714,166978,0,0,0,0,0,0,6752,0,11884,169609,193459,249507,56165,0,0,0,0
4,408.2806091,11.80873529,165536,0,0,0,2065,15423,16259,0,92673,16536,0,0,0,0,0,15059,2716,0
5,229.1202588,9.7608275,152958,24147,12823,0,0,0,0,52723,101359,48357,164917,54646,0,2742,9971,131705,0,0
6,432.2756093,11.47949167,137092,0,0,0,0,0,0,0,0,0,0,0,9238,2565,0,0,10511,10435
7,169.070694,3.989024167,137016,8019,38346,0,0,3901,0,0,0,0,7047,23748,0,0,9428,52182,41028,3346
8,225.1286469,6.004912,127862,0,19584,0,0,0,21830,0,0,0,0,13142,0,7066,0,0,0,0
9,227.1391166,6.368322381,95113,6585,35732,0,0,9084,43090,28977,16177,20674,21883,8619,36239,7760,62078,30499,0,63862
10,183.0853566,4.371605,94681,5721,44940,0,0,2088,9926,8529,24069,0,31505,17558,48108,18955,6095,9866,0,0
11,182.9526594,0.640220971,91448,60552,105455,70618,42135,62290,88047,86941,59205,70036,79837,71914,78922,91284,78846,86107,53074,96436
12,213.1245143,5.789376667,57217,6216,28029,0,0,0,33399,21725,18209,17170,22979,7994,33165,7363,50674,38372,11831,59271
13,195.1411311,5.359885,55269,0,0,0,0,0,0,68280,0,0,36338,3353,0,0,0,5354,0,9455
14,195.1746826,5.831256667,54954,7943,61874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,183.178904,4.989048,52889,9890,24803,0,0,0,7402,5409,0,0,5859,3455,37765,3342,0,0,15719,0
16,181.1687876,5.072338,49949,0,9120,0,0,3107,6973,4378,2133,2422,4577,2346,4934,2571,7106,3556,3621,7308
17,376.2344935,10.16327647,49646,62119,75510,13799,135437,61503,42024,67032,66964,89035,74406,93556,54645,96400,48631,0,41650,40190
18,193.1590254,5.856957222,49547,4920,0,0,0,9187,30863,23042,15406,13304,18657,5759,27992,6123,60348,0,0,68379
19,247.137085,8.29238,47760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,167.1454926,4.1918744,43560,9048,40518,0,0,16968,56056,36540,13712,16921,23324,11400,13152,9377,95917,36638,19364,90609
21,503.3108826,11.52825,43331,0,0,0,0,0,0,0,5530,2821,5046,5058,4980,3265,0,0,0,0
22,215.1402111,5.42574375,36882,0,58554,0,0,0,0,0,10778,0,0,0,29629,0,2240,0,0,0
23,505.3253174,11.9338,34074,0,0,0,0,0,0,0,0,5822,0,0,0,0,0,0,0,0
24,640.848877,0.642476143,33306,9300,32563,12425,0,10300,0,0,0,0,13327,10904,14123,20141,0,0,0,0
25,431.2933846,11.031925,32126,0,0,0,0,0,0,0,0,0,36252,12528,50228,0,0,0,0,0
26,244.1559563,10.79015,29995,0,0,0,0,0,0,3361,0,2114,0,0,0,0,0,0,2050,0
27,239.1394348,6.643973529,29667,0,5113,0,0,2052,11707,2273,10136,5321,13411,0,13623,3616,0,27540,5188,46366
28,173.0891113,7.88623,29640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,433.2570496,11.485,29046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,197.0954105,4.85417,28939,6280,6933,0,0,2569,10259,17559,8737,7153,12167,6165,14694,5717,8434,19539,0,31827
31,187.0819135,6.634445714,28830,0,0,0,0,0,0,29117,0,0,39930,2475,5836,0,0,49040,0,4350
32,169.1605835,3.961796364,28746,6045,12220,0,0,4994,18309,2108,0,0,19351,9575,0,6789,0,0,0,0
33,229.1217041,6.311877143,28528,5413,0,0,0,0,3276,41076,7004,6965,0,8755,29603,2468,0,0,0,28708
34,179.142688,5.0592685,26810,4917,12790,0,0,8062,22267,16207,8730,8514,9808,3296,9907,4419,36535,20311,8348,46800
35,211.1335983,4.696625,26599,3493,7869,0,0,2577,2139,3232,0,0,0,7685,12018,3309,0,0,0,9714
36,217.1567005,5.306361053,26223,5471,15356,0,0,5255,24949,17467,6635,12566,20380,6761,23234,9450,37855,25573,0,42048
37,638.8504028,0.642313037,25677,6273,24275,9649,3589,6940,15799,14016,4963,8139,10012,8272,11361,14952,13351,15250,4429,18554
38,417.2828471,11.09087333,25066,0,0,0,0,0,0,0,46297,11889,49191,36467,43129,15296,0,19581,2036,30784
39,339.2268762,12.05273333,24880,0,0,0,0,5174,3134,51463,0,0,0,0,0,0,0,0,0,7229
40,350.2858669,10.94612857,24574,2008,0,0,0,0,0,4722,4060,0,0,0,4369,0,0,9132,0,0
41,201.0945307,7.920481667,24187,0,0,0,0,0,0,2382,20519,0,0,2592,5016,0,0,3336,0,0
42,395.2956696,11.8631875,23269,0,0,0,0,0,0,0,29926,4960,40769,0,0,0,0,0,0,8917
43,229.1551676,6.10216375,23233,2867,25280,0,0,6567,37084,9613,4709,0,0,2746,0,4701,63015,0,10517,24977
44,326.3560364,11.68308,22873,0,0,0,0,0,188310,0,0,0,142273,0,0,2961,0,2316,0,0
45,195.1364833,5.076471429,22664,3516,0,0,0,0,3703,28609,6331,4725,3224,0,2648,2307,0,27155,0,0
46,419.298861,11.53919231,21095,0,0,0,0,0,0,0,31056,7677,10877,6426,12002,3408,0,3023,0,23081
47,378.2878011,11.02378333,20508,0,0,0,0,0,0,0,0,2591,9184,6658,0,0,0,5435,0,8151
48,190.1259003,4.245152,19764,0,6625,0,0,0,3112,0,0,0,0,2082,0,0,0,7400,0,0
49,211.1342316,4.90299375,19634,0,5861,0,0,0,3072,7821,0,4408,0,0,8812,0,0,4497,0,7040
50,181.168396,4.670424,19347,0,2327,0,0,0,0,2143,0,0,0,0,0,0,0,2131,0,4859
51,181.168396,4.808682,18716,0,2861,0,0,0,3097,2530,0,0,0,0,0,0,3793,0,0,0
52,269.0690918,11.45133333,18527,0,3168,0,0,4397,0,0,0,0,13500,0,0,6939,4949,0,0,0
53,261.1111267,6.758486,18334,0,0,0,0,0,10332,0,0,0,0,0,0,0,9450,0,7346,0
54,432.2875531,11.48557692,18268,0,0,0,0,18994,10522,30210,14982,0,0,0,0,0,0,0,0,36322
55,640.8378296,0.64575625,18004,10967,25525,5827,4330,11019,19606,23696,0,14145,15204,10931,13632,18939,22937,22490,7010,26854
56,183.1739644,4.534881429,17992,0,4678,0,0,0,7826,10406,5355,4073,8556,4750,12128,2810,12182,16369,3468,25865
57,638.8614502,0.645225727,17813,3294,12990,10390,2029,4242,6515,6696,2155,3313,4700,4114,6374,7738,5942,6295,2611,7771
58,277.1179199,10.6462875,17687,5760,0,0,0,0,5740,6933,4587,11956,4211,8035,4353,0,2781,0,0,10189
59,403.2672577,10.9843,17312,0,0,0,0,0,0,3067,19332,6388,23033,18594,20595,2858,0,0,0,0
60,408.297643,11.80402222,17182,0,0,0,0,0,0,0,19805,0,0,164324,0,0,2432,0,0,3086
61,381.2864075,11.78990833,16569,0,0,0,0,0,0,2752,0,6321,16317,11843,12911,0,0,0,0,0
62,187.1111518,4.10427,16440,2183,0,0,0,0,0,10130,5908,3732,5889,2666,0,0,12086,10794,0,0
63,201.1265259,4.660672941,16401,2509,10016,0,0,3233,13385,13709,7498,7215,11183,6091,11548,4062,18583,14050,0,25681
64,244.1610718,10.6386,15961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,153.1294098,3.735089,15930,3628,17535,0,0,4862,27603,12639,5317,7772,8369,3848,6550,4081,40003,13260,8383,31421
66,434.3016724,11.97546,15888,0,0,0,0,0,0,0,0,0,0,0,17602,0,0,0,3126,0
67,227.1400193,5.842766154,15802,0,6487,0,0,2074,2486,5137,4157,4245,4661,0,0,2000,11547,5843,3972,0
68,431.3088684,11.2325,15557,0,0,0,0,0,0,0,2877,0,0,11151,0,0,0,0,0,0
69,317.2090759,12.0064,15313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,638.8393555,0.641948148,15261,8367,19936,4374,4180,8301,16012,18143,7883,10819,12402,8046,11297,14849,17754,18561,5947,22296
71,217.1558794,5.023384286,15029,0,0,0,0,0,8584,10399,4459,5663,10950,4120,12378,5242,11932,12156,6523,21808
